id,status,from,to,subject,cycle_or_level
TSH3_MATH_011,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_MATH.pdf#p.14,MEPST_Programmes-Educatifs_3e-Sec_1-HS_MATH.pdf#p.14,mathématiques,"3eme_PR,3e_PR,3eme,3e"
EN3_FR_012,kept,Cahier-de-leleve-_-3e-Annee-Francais.pdf#p.8,Cahier-de-leleve-_-3e-Annee-Francais.pdf#p.8,français,"3eme_PR,3e_PR,3eme,3e"
FR4_MATH_013,kept,MEPST_Programmes-Educatifs_4e-Sec_2-HS_MATH.pdf#p.11,MEPST_Programmes-Educatifs_4e-Sec_2-HS_MATH.pdf#p.11,mathématiques,"4eme_PR,4e_PR,4eme,4e"
LN4_MATH_014,kept,MEPST_Programmes-Educatifs_4e-Sec_2-HS_MATH.pdf#p.12,MEPST_Programmes-Educatifs_4e-Sec_2-HS_MATH.pdf#p.12,mathématiques,"4eme_PR,4e_PR,4eme,4e"
KK4_FR_015,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.5,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.5,français,"4eme_PR,4e_PR,4eme,4e"
SW4_FR_016,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.9,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.9,français,"4eme_PR,4e_PR,4eme,4e"
TSH4_MATH_017,kept,MEPST_Programmes-Educatifs_4e-Sec_2-HS_MATH.pdf#p.15,MEPST_Programmes-Educatifs_4e-Sec_2-HS_MATH.pdf#p.15,mathématiques,"4eme_PR,4e_PR,4eme,4e"
EN4_FR_018,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.7,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.7,français,"4eme_PR,4e_PR,4eme,4e"
FR5_MATH_019,kept,MEPST_Programmes-Educatifs_5e-Sec_3-HS_MATH.pdf#p.11,MEPST_Programmes-Educatifs_5e-Sec_3-HS_MATH.pdf#p.11,mathématiques,"5eme_PR,5e_PR,5eme,5e"
LN5_MATH_020,kept,MEPST_Programmes-Educatifs_5e-Sec_3-HS_MATH.pdf#p.13,MEPST_Programmes-Educatifs_5e-Sec_3-HS_MATH.pdf#p.13,mathématiques,"5eme_PR,5e_PR,5eme,5e"
KK5_FR_021,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.10,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.10,français,"5eme_PR,5e_PR,5eme,5e"
SW5_FR_022,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.12,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.12,français,"5eme_PR,5e_PR,5eme,5e"
TSH5_MATH_023,kept,MEPST_Programmes-Educatifs_5e-Sec_3-HS_MATH.pdf#p.14,MEPST_Programmes-Educatifs_5e-Sec_3-HS_MATH.pdf#p.14,mathématiques,"5eme_PR,5e_PR,5eme,5e"
